tc,call_volume,aht,service_level,art
2022-12-01 00:00:00.000,15,203.25,80,30
2022-12-01 00:15:00.000,11,241,80,30
2022-12-01 00:30:00.000,13,210,80,30
2022-12-01 00:45:00.000,9,215,80,30
2022-12-01 01:00:00.000,13,226.75,80,30
2022-12-01 01:15:00.000,9,216,80,30
2022-12-01 01:30:00.000,14,206.5,80,30
2022-12-01 01:45:00.000,19,198.75,80,30
2022-12-01 02:00:00.000,14,195.25,80,30
2022-12-01 02:15:00.000,23,179.25,80,30
2022-12-01 02:30:00.000,27,163.75,80,30
2022-12-01 02:45:00.000,27,177.75,80,30
2022-12-01 03:00:00.000,35,180,80,30
2022-12-01 03:15:00.000,35,187.75,80,30
2022-12-01 03:30:00.000,45,252.75,80,30
2022-12-01 03:45:00.000,44,230.75,80,30
2022-12-01 04:00:00.000,45,200.25,80,30
2022-12-01 04:15:00.000,60,209.75,80,30
2022-12-01 04:30:00.000,64,205.75,80,30
2022-12-01 04:45:00.000,69,359.75,80,30
2022-12-01 05:00:00.000,79,195.75,80,30
2022-12-01 05:15:00.000,82,283,80,30
2022-12-01 05:30:00.000,110,301.5,80,30
2022-12-01 05:45:00.000,109,315.75,80,30
2022-12-01 06:00:00.000,117,409,80,30
2022-12-01 06:15:00.000,122,193.5,80,30
2022-12-01 06:30:00.000,137,192,80,30
2022-12-01 06:45:00.000,141,207.25,80,30
2022-12-01 07:00:00.000,168,411,80,30
2022-12-01 07:15:00.000,202,284,80,30
2022-12-01 07:30:00.000,215,289.5,80,30
2022-12-01 07:45:00.000,238,213,80,30
2022-12-01 08:00:00.000,258,243.25,80,30
2022-12-01 08:15:00.000,295,429.25,80,30
2022-12-01 08:30:00.000,334,363.5,80,30
2022-12-01 08:45:00.000,362,331.75,80,30
2022-12-01 09:00:00.000,423,464.25,80,30
2022-12-01 09:15:00.000,487,366.75,80,30
2022-12-01 09:30:00.000,565,361.5,80,30
2022-12-01 09:45:00.000,585,511.75,80,30
2022-12-01 10:00:00.000,617,457.75,80,30
2022-12-01 10:15:00.000,640,453.25,80,30
2022-12-01 10:30:00.000,679,424.25,80,30
2022-12-01 10:45:00.000,672,456.5,80,30
2022-12-01 11:00:00.000,666,445.25,80,30
2022-12-01 11:15:00.000,658,366.25,80,30
2022-12-01 11:30:00.000,659,415,80,30
2022-12-01 11:45:00.000,637,416.25,80,30
2022-12-01 12:00:00.000,625,419,80,30
2022-12-01 12:15:00.000,619,399,80,30
